Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.45153,-0.15,0.25,0,0,0,500,3.8205,1.1749E-16,-4.326E-14,11.852,-6.4283E-15,10.048,0,0,0,0,0,0,package://robot_arm_three/meshes/base_link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://robot_arm_three/meshes/base_link.STL,,stationary_base-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Moving_base_Link,-7.4784E-11,2.488E-09,-0.030092,0,0,0,0.41044,0.00049787,8.1471E-14,-5.1495E-13,0.00059376,2.0784E-12,0.00032503,0,0,0,0,0,0,package://robot_arm_three/meshes/Moving_base_Link.STL,1,0,0,1,0,0,0,0,0,0,package://robot_arm_three/meshes/Moving_base_Link.STL,,base_edited2-1,Coordinate System3,Axis1,base_joint,fixed,0.1,-0.315,0.25,-1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
First_axis_link,0.00020443,-0.016953,0.042441,0,0,0,0.2878,0.00047468,2.6726E-07,6.9283E-07,0.00028851,2.1973E-05,0.0007004,0,0,0,0,0,0,package://robot_arm_three/meshes/First_axis_link.STL,0,0,0.75294,1,0,0,0,0,0,0,package://robot_arm_three/meshes/First_axis_link.STL,,Joint2-1,Coordinate System4,Axis2,First_axis_joint,revolute,0,0.05,-0.07,1.5708,0,0,Moving_base_Link,0,0,1,200,7,-1.57,1.57,,,0.05,0.05,-0.1,0.1,50,50
First_Mil_link,0,6.9389E-18,0.1,0,0,0,0.14137,0.00047919,6.365E-22,-3.3602E-20,0.00047919,4.9964E-21,1.5904E-05,0,0,0,0,0,0,package://robot_arm_three/meshes/First_Mil_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_three/meshes/First_Mil_link.STL,,boru2-1,Coordinate System5,Axis3,First_Mil_joint,fixed,-0.00020649,-0.065626,0.041309,1.5709,0,-0.00032045,First_axis_link,0,0,0,,,,,,,,,,,,
Second_fixing_axis_link,0.00045772,-0.0011495,0.048671,0,0,0,0.2878,0.00047467,3.0307E-07,7.1506E-08,0.0007004,-2.1995E-05,0.00028851,0,0,0,0,0,0,package://robot_arm_three/meshes/Second_fixing_axis_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_three/meshes/Second_fixing_axis_link.STL,,Joint1-1,Coordinate System6,Axis3,First_mil_second_fixing_axis_joint,fixed,0,0,0.2,0,0,0,First_Mil_link,0,0,0,,,,,,,,,,,,
Second_axis_link,0.0058045,-0.034292,0.02648,0,0,0,0.63376,0.0012314,-0.00012396,1.0726E-05,0.0010088,-0.0001858,0.0017832,0,0,0,0,0,0,package://robot_arm_three/meshes/Second_axis_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_three/meshes/Second_axis_link.STL,,joint2_holder-1,Coordinate System7,Axis4,Second_axis_joint,revolute,0.0004575,-0.043784,0.065618,-1.5708,0.00032045,0,Second_fixing_axis_link,0,0,1,200,7,-4.65,1.5,,,0.05,0.05,-0.1,0.1,50,50
Second_mil_link,-0.0083972,0.0054255,0.11033,0,0,0,0.14137,0.00047919,1.2794E-21,7.0399E-20,0.00047919,-2.9758E-20,1.5904E-05,0,0,0,0,0,0,package://robot_arm_three/meshes/Second_mil_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_three/meshes/Second_mil_link.STL,,boru1-1,Coordinate System8,Axis5,Second_mil_joint,fixed,0.049694,0.0055217,-0.0066038,1.5708,-1.5707,1.5708,Second_axis_link,0,0,0,,,,,,,,,,,,
Third_fixing_axis_link,-0.00047757,6.3774E-05,0.02611,0,0,0,0.13374,0.00017544,4.9987E-10,-7.574E-06,0.00012399,4.6365E-09,8.8845E-05,0,0,0,0,0,0,package://robot_arm_three/meshes/Third_fixing_axis_link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://robot_arm_three/meshes/Third_fixing_axis_link.STL,,joint3-1,Coordinate System9,Axis5,second_mil_third_fixing_axis_joint,fixed,-0.0083972,0.0054255,0.21033,0,0,0,Second_mil_link,0,0,0,,,,,,,,,,,,
Third_axis_link,1.2302E-06,0.0046698,0.013516,0,0,0,0.053567,2.4098E-05,-1.5016E-09,-3.5463E-08,2.8157E-05,-1.2699E-06,4.8213E-05,0,0,0,0,0,0,package://robot_arm_three/meshes/Third_axis_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_three/meshes/Third_axis_link.STL,,gear_holder-1,Coordinate System10,Axis6,Third_axis_joint,revolute,0.02,0.00062296,0.04,5.9147E-05,-1.5708,0,Third_fixing_axis_link,0,0,-1,200,7,-3.14,3.14,,,0.05,0.05,-0.1,0.1,50,50
camera_link,0.0074267,-1.1657E-15,5.5511E-17,0,0,0,0.0066982,2.2465E-06,7.3942E-23,-2.5703E-22,1.9965E-06,3.2334E-17,2.8273E-07,0,0,0,0,0,0,package://robot_arm_three/meshes/camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_three/meshes/camera_link.STL,,camera-1,Coordinate System11,Axis7,camera_joint,fixed,0.0005,0.0415,0.0185,1.5708,0,-1.5708,Third_axis_link,0,0,0,,,,,,,,,,,,
